Product Name,Product ID,Price,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Detergente Máquina Roupa Líquido Active Clean,7784982,14.99,"€0,15/dos",Skip,Limpeza/Limpeza da Roupa e Calçado/Detergente Máquina,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw99c9851c/images/col/778/7784982-hero.png?sw=280&sh=280,100 doses,https://www.continente.pt/produto/detergente-maquina-roupa-liquido-active-clean-skip-7784982.html,limpeza,2024-11-24,Continente
Detergente Máquina Loiça Pastilhas Power Limão,7816822,14.99,"€0,15/un",Finish,Limpeza/Limpeza da Cozinha/Detergente Máquina Loiça,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw30d3b16c/images/col/781/7816822-frente.jpg?sw=280&sh=280,100 doses,https://www.continente.pt/produto/detergente-maquina-loica-pastilhas-power-limao-finish-7816822.html,limpeza,2024-11-24,Continente
Papel Higiénico 3 Folhas Acolchoado,5405536,9.59,"€0,40/un",Scottex,"Beleza e Higiene/Papel Higiénico/Papel Higiénico 3, 4 e 5 Folhas",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwf6e2f2b5/images/col/540/5405536-frente.jpg?sw=280&sh=280,emb. 24 rolos,https://www.continente.pt/produto/papel-higienico-3-folhas-acolchoado-scottex-5405536.html,limpeza,2024-11-24,Continente
Detergente Máquina Roupa Líquido Sabão Azul e Branco,7684656,33.99,"€0,11/dos",Persil,Limpeza/Limpeza da Roupa e Calçado/Detergente Máquina,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwfb1d4beb/images/col/768/7684656-hero.jpg?sw=280&sh=280,emb. 3 x 100 doses,https://www.continente.pt/produto/detergente-maquina-roupa-liquido-sabao-azul-e-branco-persil-7684656.html,limpeza,2024-11-24,Continente
Amaciador + Intensificador de Perfume para Roupa,foodllcomfort,7.48,,,Limpeza/Limpeza da Roupa e Calçado/Amaciador e Intensificador Perfume,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwc9a40b11/images/col/foo/foodllcomfort-hero.jpg?sw=280&sh=280,,https://www.continente.pt/produto/amaciador-intensificador-de-perfume-para-roupa-foodllcomfort.html,limpeza,2024-11-24,Continente
Papel Higiénico 2 Folhas Super,2919350,9.99,"€0,21/un",Renova,Beleza e Higiene/Papel Higiénico/Papel Higiénico 2 Folhas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwefcd5cfa/images/col/291/2919350-frente.png?sw=280&sh=280,emb. 48 rolos,https://www.continente.pt/produto/papel-higienico-2-folhas-super-renova-2919350.html,limpeza,2024-11-24,Continente
Detergente Máquina Roupa Líquido +Vanish,7714716,12.99,"€0,11/dos",Xau,Limpeza/Limpeza da Roupa e Calçado/Detergente Máquina,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw34523531/images/col/771/7714716-frente.jpg?sw=280&sh=280,118 doses,https://www.continente.pt/produto/detergente-maquina-roupa-liquido-vanish-xau-7714716.html,limpeza,2024-11-24,Continente
Detergente Manual Loiça Ultra Limão,7654326,6.29,"€5,03/lt",Fairy,Limpeza/Limpeza da Cozinha/Detergente Manual Loiça,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw5a2089d8/images/col/765/7654326-frente.jpg?sw=280&sh=280,"emb. 1,25 lt",https://www.continente.pt/produto/detergente-manual-loica-ultra-limao-fairy-7654326.html,limpeza,2024-11-24,Continente
Papel Higiénico Ultra Suave XXL Compacto,6646118,12.49,"€0,52/un",Colhogar,Beleza e Higiene/Papel Higiénico/Papel Higiénico Compacto,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwbe01d4e1/images/col/664/6646118-hero.png?sw=280&sh=280,emb. 24 rolos = 48 rolos,https://www.continente.pt/produto/papel-higienico-ultra-suave-xxl-compacto-colhogar-6646118.html,limpeza,2024-11-24,Continente
Multisuperfícies Spray Lixívia e Higiene,7523810,5.49,"€3,66/lt",Cillit Bang,Limpeza/Limpeza Geral/Multisuperfícies,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw30445e73/images/col/752/7523810-hero.jpg?sw=280&sh=280,emb. 3 x 500 ml,https://www.continente.pt/produto/multisuperficies-spray-lixivia-e-higiene-cillit-bang-7523810.html,limpeza,2024-11-24,Continente
