Product Name,Product ID,Price,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Atum Posta em Óleo sem Glúten,2003646,1.69,"€21,67/kg",Bom Petisco,Mercearia/Conservas/Atum,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw788edfbe/images/col/200/2003646-direito.jpg?sw=280&sh=280,emb. 120 gr (peso escorrido 78 gr),https://www.continente.pt/produto/atum-posta-em-oleo-sem-gluten-bom-petisco-2003646.html,mercearias,2024-11-22,Continente
Cápsulas de Café Buondi Int 8,7405690,17.99,"€0,28/un",Nescafé Dolce Gusto,"Mercearia/Café, Chá e Chocolate Solúvel/Café em Cápsulas",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw423df213/images/col/740/7405690-hero.jpg?sw=280&sh=280,emb. 64 un,https://www.continente.pt/produto/capsulas-de-cafe-buondi-int-8-nescafe-dolce-gusto-7405690.html,mercearias,2024-11-22,Continente
Atum Filetes em Azeite,2113579,3.26,"€41,79/kg",Tenorio,Mercearia/Conservas/Atum,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe5894983/images/col/211/2113579-direito.jpg?sw=280&sh=280,emb. 120 gr (peso escorrido 78 gr),https://www.continente.pt/produto/atum-filetes-em-azeite-tenorio-2113579.html,mercearias,2024-11-22,Continente
Arroz Agulha,2305902,1.69,"€1,69/kg",Cigala,"Mercearia/Arroz, Massa e Farinha/Arroz",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw3be01bc5/images/col/230/2305902-frente.jpg?sw=280&sh=280,emb. 1 kg,https://www.continente.pt/produto/arroz-agulha-cigala-2305902.html,mercearias,2024-11-22,Continente
Massa Esparguete Nº5,2062765,1.09,"€2,18/kg",Barilla,"Mercearia/Arroz, Massa e Farinha/Massa",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd202c300/images/col/206/2062765-hero.jpg?sw=280&sh=280,emb. 500 gr,https://www.continente.pt/produto/massa-esparguete-n5-barilla-2062765.html,mercearias,2024-11-22,Continente
Bolachas Marinheiras com Chia,5181067,2.14,"€10,70/kg",Cem Porcento,"Mercearia/Bolachas, Biscoitos e Tostas/Bolachas e Biscoitos Salgados",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8aed0cb2/images/col/518/5181067-frente.jpg?sw=280&sh=280,emb. 200 gr,https://www.continente.pt/produto/bolachas-marinheiras-com-chia-cem-porcento-5181067.html,mercearias,2024-11-22,Continente
Atum ao Natural,2546351,1.19,"€14,17/kg",Ramirez,Mercearia/Conservas/Atum,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwcac0fd1a/images/col/254/2546351-frente.jpg?sw=280&sh=280,emb. 120 gr (peso escorrido 84 gr),https://www.continente.pt/produto/atum-ao-natural-ramirez-2546351.html,mercearias,2024-11-22,Continente
Arroz Basmati,4949515,1.99,"€1,99/kg",Continente,"Mercearia/Arroz, Massa e Farinha/Arroz",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw3e2924b4/images/col/494/4949515-frente.jpg?sw=280&sh=280,emb. 1 kg,https://www.continente.pt/produto/arroz-basmati-continente-4949515.html,mercearias,2024-11-22,Continente
Tablete de Chocolate de Leite Extrafino sem Glúten,7244148,3.74,"€13,85/kg",Nestlé,"Mercearia/Chocolate, Gomas e Rebuçados/Chocolates",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe0e9256a/images/col/724/7244148-frente.png?sw=280&sh=280,emb. 270 gr,https://www.continente.pt/produto/tablete-de-chocolate-de-leite-extrafino-sem-gluten-nestle-7244148.html,mercearias,2024-11-22,Continente
Massa Esparguete,5254224,0.75,"€1,50/kg",Continente,"Mercearia/Arroz, Massa e Farinha/Massa",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw9febad84/images/col/525/5254224-frente.jpg?sw=280&sh=280,emb. 500 gr,https://www.continente.pt/produto/massa-esparguete-continente-5254224.html,mercearias,2024-11-22,Continente
