product_id,product_name,product_price,product_category,product_category2,product_category3,product_image,product_urls,product_ratings,product_labels,product_promotions,quantity_selector
720385,cenoura bio kg,2.19,Produtos Frescos,Legumes,"Abóbora, Cenoura e Alho Francês", ,"{""productUrl"":""/pt/produtos-frescos/legumes/abobora-cenoura-e-alho-frances/cenoura-bio-kg/720385.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=720385"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/produtos-frescos/legumes/abobora-cenoura-e-alho-frances/cenoura-bio-kg/720385.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fprodutos-frescos%2Flegumes%2Fabobora-cenoura-e-alho-frances%2Fcenoura-bio-kg%2F720385.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=720385""}",720385,"[{'alt': 'Biológico', 'title': 'Biológico'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2490395,leite auchan uht meio gordo sem lactose 1l,1.05,Alimentação,Produtos Lácteos,Sem Lactose, ,"{""productUrl"":""/pt/alimentacao/produtos-lacteos/sem-lactose/leite-sem-lactose/leite-auchan-uht-meio-gordo-sem-lactose-1l/2490395.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2490395"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/produtos-lacteos/sem-lactose/leite-sem-lactose/leite-auchan-uht-meio-gordo-sem-lactose-1l/2490395.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fprodutos-lacteos%2Fsem-lactose%2Fleite-sem-lactose%2Fleite-auchan-uht-meio-gordo-sem-lactose-1l%2F2490395.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2490395""}",2490395,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2490352,leite auchan uht magro sem lactose 1l,1.05,Alimentação,Produtos Lácteos,Sem Lactose, ,"{""productUrl"":""/pt/alimentacao/produtos-lacteos/sem-lactose/leite-sem-lactose/leite-auchan-uht-magro-sem-lactose-1l/2490352.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2490352"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/produtos-lacteos/sem-lactose/leite-sem-lactose/leite-auchan-uht-magro-sem-lactose-1l/2490352.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fprodutos-lacteos%2Fsem-lactose%2Fleite-sem-lactose%2Fleite-auchan-uht-magro-sem-lactose-1l%2F2490352.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2490352""}",2490352,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2125876,leite mimosa uht especial 0% lactose meio gordo 1l,1.14,Alimentação,Produtos Lácteos,Sem Lactose, ,"{""productUrl"":""/pt/alimentacao/produtos-lacteos/sem-lactose/leite-sem-lactose/leite-mimosa-uht-especial-0-lactose-meio-gordo-1l/2125876.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2125876"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/produtos-lacteos/sem-lactose/leite-sem-lactose/leite-mimosa-uht-especial-0-lactose-meio-gordo-1l/2125876.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fprodutos-lacteos%2Fsem-lactose%2Fleite-sem-lactose%2Fleite-mimosa-uht-especial-0-lactose-meio-gordo-1l%2F2125876.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2125876""}",2125876,"[{'alt': 'Sem lactose', 'title': 'Sem lactose'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2125879,leite mimosa uht magro bem especial 0% lactose 1l,1.14,Alimentação,Produtos Lácteos,Sem Lactose, ,"{""productUrl"":""/pt/alimentacao/produtos-lacteos/sem-lactose/leite-sem-lactose/leite-mimosa-uht-magro-bem-especial-0-lactose-1l/2125879.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2125879"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/produtos-lacteos/sem-lactose/leite-sem-lactose/leite-mimosa-uht-magro-bem-especial-0-lactose-1l/2125879.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fprodutos-lacteos%2Fsem-lactose%2Fleite-sem-lactose%2Fleite-mimosa-uht-magro-bem-especial-0-lactose-1l%2F2125879.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2125879""}",2125879,"[{'alt': 'Sem lactose', 'title': 'Sem lactose'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2938988,fibra seara de psilio bio 100g,3.69,Biológicos e Alternativas,Biológicos,Biológicos Alimentação Funcional, ,"{""productUrl"":""/pt/biologicos-e-alternativas/biologicos/biologicos-alimentacao-funcional/fibra-seara-de-psilio-bio-100g/2938988.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2938988"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/biologicos/biologicos-alimentacao-funcional/fibra-seara-de-psilio-bio-100g/2938988.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Fbiologicos%2Fbiologicos-alimentacao-funcional%2Ffibra-seara-de-psilio-bio-100g%2F2938988.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2938988""}",2938988,"[{'alt': 'Biológico', 'title': 'Biológico'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2945855,nata auchan uht culinária sem lactose 200ml,0.89,Alimentação,Produtos Lácteos,"Natas, Béchamel e Chantilly", ,"{""productUrl"":""/pt/alimentacao/produtos-lacteos/natas-bechamel-e-chantilly/natas/nata-auchan-uht-culinaria-sem-lactose-200ml/2945855.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2945855"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/produtos-lacteos/natas-bechamel-e-chantilly/natas/nata-auchan-uht-culinaria-sem-lactose-200ml/2945855.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fprodutos-lacteos%2Fnatas-bechamel-e-chantilly%2Fnatas%2Fnata-auchan-uht-culinaria-sem-lactose-200ml%2F2945855.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2945855""}",2945855,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
3533088,leite magro uht mimosa sem lactose +proteina 1 lt,2.49,Alimentação,Produtos Lácteos,Sem Lactose, ,"{""productUrl"":""/pt/alimentacao/produtos-lacteos/sem-lactose/leite-sem-lactose/leite-magro-uht-mimosa-sem-lactose-proteina-1-lt/3533088.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3533088"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/produtos-lacteos/sem-lactose/leite-sem-lactose/leite-magro-uht-mimosa-sem-lactose-proteina-1-lt/3533088.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fprodutos-lacteos%2Fsem-lactose%2Fleite-sem-lactose%2Fleite-magro-uht-mimosa-sem-lactose-proteina-1-lt%2F3533088.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3533088""}",3533088,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Sem lactose', 'title': 'Sem lactose'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2185221,gelatina auchan ananás 0% de açúcar 4x100g,0.95,Alimentação,Produtos Lácteos,Gelatinas e Sobremesas, ,"{""productUrl"":""/pt/alimentacao/produtos-lacteos/gelatinas-e-sobremesas/gelatinas/gelatina-auchan-ananas-0-de-acucar-4x100g/2185221.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2185221"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/produtos-lacteos/gelatinas-e-sobremesas/gelatinas/gelatina-auchan-ananas-0-de-acucar-4x100g/2185221.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fprodutos-lacteos%2Fgelatinas-e-sobremesas%2Fgelatinas%2Fgelatina-auchan-ananas-0-de-acucar-4x100g%2F2185221.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2185221""}",2185221,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
904325,delicias do mar auchan sem glúten 250g,1.29,Alimentação,Congelados,Marisco, ,"{""productUrl"":""/pt/alimentacao/congelados/marisco/delicias-e-preparados-marisco/delicias-do-mar-auchan-sem-gluten-250g/904325.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=904325"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/congelados/marisco/delicias-e-preparados-marisco/delicias-do-mar-auchan-sem-gluten-250g/904325.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fcongelados%2Fmarisco%2Fdelicias-e-preparados-marisco%2Fdelicias-do-mar-auchan-sem-gluten-250g%2F904325.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=904325""}",904325,"[{'alt': 'Sem gluten', 'title': 'Sem gluten'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
3556865,tomate cereja auchan bio cultivamos o bom 250 g,1.59,Biológicos e Alternativas,Biológicos,Biológicos Produtos Frescos, ,"{""productUrl"":""/pt/biologicos-e-alternativas/biologicos/biologicos-produtos-frescos/frutas-e-legumes/tomate-pimento-e-pepino/tomate-cereja-auchan-bio-cultivamos-o-bom-250-g/3556865.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3556865"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/biologicos/biologicos-produtos-frescos/frutas-e-legumes/tomate-pimento-e-pepino/tomate-cereja-auchan-bio-cultivamos-o-bom-250-g/3556865.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Fbiologicos%2Fbiologicos-produtos-frescos%2Ffrutas-e-legumes%2Ftomate-pimento-e-pepino%2Ftomate-cereja-auchan-bio-cultivamos-o-bom-250-g%2F3556865.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3556865""}",3556865,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Cultivamos o bom', 'title': 'Cultivamos o bom'}, {'alt': 'Biológico', 'title': 'Biológico'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2445316,suplemento prozis creatina monohidratada 150g,17.99,Biológicos e Alternativas,Nutrição Desportiva,Suplementos Desportivos, ,"{""productUrl"":""/pt/biologicos-e-alternativas/nutricao-desportiva/suplementos-desportivos/emagrecimento/suplemento-prozis-creatina-monohidratada-150g/2445316.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2445316"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/nutricao-desportiva/suplementos-desportivos/emagrecimento/suplemento-prozis-creatina-monohidratada-150g/2445316.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Fnutricao-desportiva%2Fsuplementos-desportivos%2Femagrecimento%2Fsuplemento-prozis-creatina-monohidratada-150g%2F2445316.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2445316""}",2445316,[],,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2734501,atum posta santa catarina azeite biológico 120g,2.29,Biológicos e Alternativas,Biológicos,Biológicos Mercearia, ,"{""productUrl"":""/pt/biologicos-e-alternativas/biologicos/biologicos-mercearia/vegetais-secos-conservas-e-pates/conservas-peixe/atum-posta-santa-catarina-azeite-biologico-120g/2734501.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2734501"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/biologicos/biologicos-mercearia/vegetais-secos-conservas-e-pates/conservas-peixe/atum-posta-santa-catarina-azeite-biologico-120g/2734501.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Fbiologicos%2Fbiologicos-mercearia%2Fvegetais-secos-conservas-e-pates%2Fconservas-peixe%2Fatum-posta-santa-catarina-azeite-biologico-120g%2F2734501.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2734501""}",2734501,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Biológico', 'title': 'Biológico'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
720350,banana importada bio kg,1.69,Biológicos e Alternativas,Biológicos,Biológicos Produtos Frescos, ,"{""productUrl"":""/pt/biologicos-e-alternativas/biologicos/biologicos-produtos-frescos/frutas-e-legumes/frutas-sumos-e-polpas/banana-importada-bio-kg/720350.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=720350"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/biologicos/biologicos-produtos-frescos/frutas-e-legumes/frutas-sumos-e-polpas/banana-importada-bio-kg/720350.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Fbiologicos%2Fbiologicos-produtos-frescos%2Ffrutas-e-legumes%2Ffrutas-sumos-e-polpas%2Fbanana-importada-bio-kg%2F720350.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=720350""}",720350,"[{'alt': 'Biológico', 'title': 'Biológico'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
38899,abacate hass bio 350g,2.49,Biológicos e Alternativas,Biológicos,Biológicos Produtos Frescos, ,"{""productUrl"":""/pt/biologicos-e-alternativas/biologicos/biologicos-produtos-frescos/frutas-e-legumes/frutas-sumos-e-polpas/abacate-hass-bio-350g/38899.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=38899"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/biologicos/biologicos-produtos-frescos/frutas-e-legumes/frutas-sumos-e-polpas/abacate-hass-bio-350g/38899.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Fbiologicos%2Fbiologicos-produtos-frescos%2Ffrutas-e-legumes%2Ffrutas-sumos-e-polpas%2Fabacate-hass-bio-350g%2F38899.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=38899""}",38899,"[{'alt': 'Biológico', 'title': 'Biológico'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
