Product Name,Product ID,Price,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Mini Pizzas de Fiambre e Queijo,3052221,3.8,"€14,07/kg",Buitoni Piccolinis,Congelados/Pizzas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw11a9e0f2/images/col/305/3052221-hero.jpg?sw=280&sh=280,emb. 270 gr (9 un),https://www.continente.pt/produto/mini-pizzas-de-fiambre-e-queijo-buitoni-piccolinis-3052221.html,congelados,2024-11-25,Continente
Hambúrguer de Frango sem Glúten e Batatas Palitos Micro-ondas,7917961,5.39,"€12,25/kg",Iglo,Congelados/Hambúrgueres e Almôndegas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwc96ea4bc/images/col/791/7917961-frente.jpg?sw=280&sh=280,emb. 240 gr (4 un) + 200 gr,https://www.continente.pt/produto/hamburguer-de-frango-sem-gluten-e-batatas-palitos-micro-ondas-iglo-7917961.html,congelados,2024-11-25,Continente
Mimos de Pescada do Cabo Ultracongelados,5014116,9.99,"€9,99/kg",Pescanova,"Frescos/Peixaria/Filetes, Lombos e Postas/Congelado",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw583a99e9/images/col/501/5014116-frente.jpg?sw=280&sh=280,emb. 1 kg,https://www.continente.pt/produto/mimos-de-pescada-do-cabo-ultracongelados-pescanova-5014116.html,congelados,2024-11-25,Continente
Gelado Cone Morango 6 unidades,5564190,5.49,"€10,17/lt",Cornetto,Congelados/Gelados/Gelados de Cone,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw75e7c327/images/col/556/5564190-hero.jpg?sw=280&sh=280,emb. 540 ml (6 un),https://www.continente.pt/produto/gelado-cone-morango-6-unidades-cornetto-5564190.html,congelados,2024-11-25,Continente
Ervilhas,4882816,4.99,"€4,44/kg",Iglo,Congelados/Frutas e Legumes/Legumes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwa6c74b6c/images/col/488/4882816-frente.jpg?sw=280&sh=280,"emb. 1,125 kg",https://www.continente.pt/produto/ervilhas-iglo-4882816.html,congelados,2024-11-25,Continente
Batata Gomos Mediterranean,3911249,3.79,"€5,05/kg",McCain,Congelados/Batata Frita e Puré,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwcbae9665/images/col/391/3911249-frente.png?sw=280&sh=280,emb. 750 gr,https://www.continente.pt/produto/batata-gomos-mediterranean-mccain-3911249.html,congelados,2024-11-25,Continente
Pizza Ristorante de Pepperoni e Salame,3002399,3.69,"€11,53/kg",Ristorante,Congelados/Pizzas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw6e1ecc2c/images/col/300/3002399-direito.png?sw=280&sh=280,emb. 337 gr,https://www.continente.pt/produto/pizza-ristorante-de-pepperoni-e-salame-ristorante-3002399.html,congelados,2024-11-25,Continente
Croquetes de Carne,7163251,2.79,"€8,72/kg",Continente,"Congelados/Salgados, Folhados e Pastelaria/Salgados",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw9677cb4f/images/col/716/7163251-hero.jpg?sw=280&sh=280,emb. 320 gr (10 un),https://www.continente.pt/produto/croquetes-de-carne-continente-7163251.html,congelados,2024-11-25,Continente
Porções de Salmão Ultracongelado,3738132,12.99,"€25,98/kg",Royal Greenland,"Frescos/Peixaria/Filetes, Lombos e Postas/Congelado",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw185f4d7d/images/col/373/3738132-frente.jpg?sw=280&sh=280,5 un x 100 gr (500 gr),https://www.continente.pt/produto/porcoes-de-salmao-ultracongelado-royal-greenland-3738132.html,congelados,2024-11-25,Continente
Crocantes de Frango Parmesão e Ervas,5779700,3.74,"€20,78/kg",Iglo,Congelados/Nuggets e Crocantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwbca393f0/images/col/577/5779700-direito.jpg?sw=280&sh=280,emb. 180 gr (2 un),https://www.continente.pt/produto/crocantes-de-frango-parmesao-e-ervas-iglo-5779700.html,congelados,2024-11-25,Continente
Miolo de Camarão Grande 40/60 Ultracongelado,5691213,4.58,"€22,90/kg",Pescanova,Frescos/Peixaria/Marisco/Congelado,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd0fa62ae/images/col/569/5691213-frente.jpg?sw=280&sh=280,emb. 200 gr,https://www.continente.pt/produto/miolo-de-camarao-grande-40-60-ultracongelado-pescanova-5691213.html,congelados,2024-11-25,Continente
Esparregado de Espinafres,5593773,3.49,"€4,65/kg",Iglo,Congelados/Frutas e Legumes/Legumes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw09b35d08/images/col/559/5593773-direito.jpg?sw=280&sh=280,emb. 750 gr,https://www.continente.pt/produto/esparregado-de-espinafres-iglo-5593773.html,congelados,2024-11-25,Continente
Gelado Cookie Dough,7109616,6.79,"€14,60/lt",Ben & Jerrys,Congelados/Gelados/Gelados Americanos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw31ab2a4e/images/col/710/7109616-hero.jpg?sw=280&sh=280,emb. 465 ml,https://www.continente.pt/produto/gelado-cookie-dough-ben-jerrys-7109616.html,congelados,2024-11-25,Continente
Pão de Queijo,7055967,2.69,"€8,97/kg",Continente Seleção,"Congelados/Salgados, Folhados e Pastelaria/Pão de Alho e Pão de Queijo",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw4821eeb7/images/col/705/7055967-frente.jpg?sw=280&sh=280,emb. 300 gr (12 un),https://www.continente.pt/produto/pao-de-queijo-continente-selecao-7055967.html,congelados,2024-11-25,Continente
Almôndegas de Proteína Vegetal,7207960,3.99,"€16,62/kg",Iglo Green Cuisine,Congelados/Hambúrgueres e Almôndegas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe32aa314/images/col/720/7207960-frente.jpg?sw=280&sh=280,emb. 240 gr (10 un),https://www.continente.pt/produto/almondegas-de-proteina-vegetal-iglo-green-cuisine-7207960.html,congelados,2024-11-25,Continente
Gelado Perna de Pau,4704539,4.99,"€11,88/lt",Olá,Congelados/Gelados/Gelados Infantis,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw5246defe/images/col/470/4704539-hero.jpg?sw=280&sh=280,emb. 420 ml (6 un),https://www.continente.pt/produto/gelado-perna-de-pau-ola-4704539.html,congelados,2024-11-25,Continente
Açaí Biológico,8021790,8.99,"€19,01/kg",Oakberry,Congelados/Frutas e Legumes/Frutas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw15f85d23/images/col/802/8021790-frente.jpg?sw=280&sh=280,emb. 473 ml,https://www.continente.pt/produto/acai-biologico-oakberry-8021790.html,congelados,2024-11-25,Continente
Batata Palitos Golden Long,2241870,3.99,"€3,99/kg",McCain,Congelados/Batata Frita e Puré,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw555daa31/images/col/224/2241870-frente.png?sw=280&sh=280,emb. 1 kg,https://www.continente.pt/produto/batata-palitos-golden-long-mccain-2241870.html,congelados,2024-11-25,Continente
Pizza Rústica Royale,7052742,6.99,"€12,16/kg",Rústica,Congelados/Pizzas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw44d87e83/images/col/705/7052742-direito.png?sw=280&sh=280,emb. 575 gr,https://www.continente.pt/produto/pizza-rustica-royale-rustica-7052742.html,congelados,2024-11-25,Continente
Lombos de Salmão ASC Ultracongelado,6635820,12.99,"€25,98/kg",Continente,"Frescos/Peixaria/Filetes, Lombos e Postas/Congelado",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwddcec5ad/images/col/663/6635820-frente.jpg?sw=280&sh=280,4 un x 125 gr (500 gr),https://www.continente.pt/produto/lombos-de-salmao-asc-ultracongelado-continente-6635820.html,congelados,2024-11-25,Continente
